"bgrp[1]","bgrp[2]","bgrp[3]"
0.4054207,-0.16633542,-0.24129302
0.61434206,-0.074619003,-0.16898268
0.6214951,-0.11053747,-0.17047982
0.11110943,-0.22808836,0.076623732
0.30776245,-0.20879099,-0.24482404
-0.083277821,-0.18240386,-0.055167132
0.51325036,-0.20342968,-0.10871387
0.13546495,-0.17261438,-0.13233038
0.50104882,-0.083105874,-0.14517092
0.45272885,-0.16547438,-0.016278404
0.71681496,-0.075069317,-0.11512737
0.26420008,-0.083511741,-0.20683863
0.90682192,-0.20463056,0.013286664
0.44282461,0.0014689026,-0.36702891
0.58729153,-0.053264517,0.011695621
0.4218436,-0.34948016,-0.0050944166
0.61925187,-0.096815395,-0.003222944
0.5038153,-0.14932269,-0.09966073
0.43784639,-0.13450579,-0.011140698
0.58284583,-0.11425573,-0.16270081
0.30307535,-0.18423049,-0.2335554
0.47690101,-0.094872395,0.053016176
0.60240765,-0.19077731,-0.097394199
0.64700608,-0.12359433,-0.16483587
0.3223166,-0.22602677,-0.12608542
0.22172681,-0.29227182,-0.050757481
0.38015624,-0.11504743,-0.094584149
0.061937448,-0.17017328,-0.19216004
0.64622579,-0.022051504,-0.058933075
0.38667574,-0.27911222,-0.025187368
0.37926064,-0.108852,-0.02769124
0.28177128,-0.19513309,-0.014174907
0.47296652,0.030549829,-0.15195109
0.23406403,-0.15822296,-0.097505266
0.54407068,-0.13252812,-0.092798728
0.43173644,-0.1142493,-0.26859096
0.27253467,-0.10730982,0.04310649
-0.1452164,-0.26929745,0.067275562
0.41071655,0.010771147,-0.020051762
0.26307572,-0.14358832,-0.011292848
0.22102936,-0.11966538,-0.18083311
0.40470226,-0.18939121,0.083643539
0.27743356,-0.2414,-0.09844225
0.57190114,-0.006535842,-0.36640407
0.59855832,-0.1234033,-0.092948019
0.3699314,-0.121703,-0.028671063
0.43156662,-0.15260242,-0.13578583
0.4019968,-0.19733118,0.037900225
0.48752685,-0.23537552,-0.20338275
0.52464058,-0.087459052,0.076612669
0.25465582,-0.23259673,-0.19821573
0.3454694,-0.26196827,-0.22598777
0.30011784,-0.17060015,-0.15727129
0.52219604,-0.042922297,-0.30894751
0.38072855,-0.20918468,-0.18500408
0.65770095,-0.11100141,-0.15245404
0.56670042,-0.12382617,-0.22105143
0.41954423,-0.23672671,-0.024812535
0.6558988,-0.11054725,-0.094696937
0.26461216,-0.10371981,-0.068706804
0.27725963,-0.16389981,0.095067878
0.65860403,-0.091203381,-0.36585476
0.55654642,-0.13014267,-0.060564957
0.67174352,-0.082322949,-0.33932132
0.51413353,-0.17322077,-0.18099827
0.48390924,-0.076519013,-0.24141982
0.072777319,-0.18722704,-0.058931731
0.12190686,-0.17373902,0.0044962274
0.25780845,-0.16469086,0.17690855
0.21732004,-0.13461175,-0.089447241
0.18391645,-0.16415999,-0.12131266
0.90044094,-0.055564305,-0.081139386
0.49742856,-0.14495137,-0.18731725
0.25862993,-0.046630934,-0.10807577
0.16660206,-0.18301471,-0.097681692
0.42419534,-0.17496421,-0.17447045
0.38856443,-0.10579168,-0.22124598
0.48382966,-0.1729229,-0.12366194
0.39933859,-0.04387899,-0.12422581
0.44944584,-0.14220141,-0.070139586
0.28107141,-0.18904827,-0.24891776
0.56314174,-0.071641047,0.087873896
0.70231409,-0.091072992,0.14074756
0.72757101,-0.17007134,-0.037338045
0.5575879,-0.18364833,-0.067473538
0.66532379,-0.037772583,-0.19039756
0.5156214,-0.15128631,0.048188151
0.63722618,-0.15040573,-0.20975619
-0.00090225439,-0.21077437,-0.32573111
0.27408444,-0.10878193,0.099007838
0.31187645,-0.15754751,-0.17647641
0.36754057,-0.17857927,-0.056406754
0.53542596,-0.15653028,-0.37373778
0.50803978,-0.097668227,0.060435959
0.61949092,-0.023853813,-0.21734791
0.42159283,-0.18875866,-0.19612959
0.47761106,-0.13009266,0.045843271
0.19273081,-0.18988571,-0.20286106
0.16592235,-0.24916983,-0.20650146
0.3549132,-0.1388149,-0.030724856
0.27308684,-0.21627031,-0.11163204
0.11127303,-0.24778706,-0.44753128
0.25121504,-0.14700026,-0.22956848
0.44926403,-0.087700384,0.031161705
0.23306407,-0.19119149,-0.12924337
0.7153165,-0.1259072,-0.21712092
0.25023732,-0.13114613,0.0017649988
0.0031580153,-0.25266203,-0.028719886
0.64470506,-0.16430911,-0.21952268
0.21656446,-0.19508154,-0.0645791
0.089647961,-0.13837408,-0.083003817
0.34997003,-0.16734801,-0.056139981
0.21488487,-0.2477442,-0.090112298
0.45544157,-0.17589161,-0.1153648
0.57893428,-0.13547644,-0.1696881
0.25634678,-0.15073197,-0.077054215
0.3955868,-0.096659038,-0.36148441
0.20313288,-0.18723078,-0.23953403
0.30690518,-0.26230534,-0.094109052
0.25010295,-0.19085661,-0.22127236
0.43585977,-0.1811579,-0.12592492
0.4622064,-0.086643677,0.0028441214
0.31371009,-0.11446894,-0.203394
0.30422227,-0.16116323,-0.40352539
0.058922603,-0.21892308,-0.071907418
-0.053640011,-0.27226882,-0.065398585
0.60001891,-0.058474752,-0.092404292
0.35498432,-0.14730865,-0.21000598
0.17165441,-0.17268519,-0.07868908
0.44647863,-0.10064819,-0.14292424
0.30216997,-0.1561778,-0.16558156
0.022451673,-0.17872023,-0.090321446
0.41017784,-0.14873911,-0.22873392
0.32871508,-0.22729306,-0.019873222
0.20037493,-0.1635498,-0.058884537
0.45113584,-0.22291026,0.065203385
0.20155608,-0.26851516,0.059525688
0.45092506,-0.094609578,-0.29018123
0.21623939,-0.076766838,-0.29648019
0.067155741,-0.25466651,0.1123236
0.63297819,-0.062450783,0.01129832
0.19975635,-0.10767379,-0.26455556
0.32546049,-0.094211606,-0.067611704
0.25311885,-0.15718307,-0.14230947
0.59252192,-0.07248743,-0.24938705
0.1783028,-0.13030887,-0.10015019
0.017121497,-0.25208589,-0.21047824
0.77622672,-0.037513935,0.072081395
0.59516418,-0.091475811,-0.52557344
0.3848336,-0.10218004,0.075964328
0.63185737,-0.14620144,-0.13999682
0.3571286,-0.12744038,-0.18989167
0.10848243,-0.2330326,-0.17958337
0.40709314,-0.23694115,-0.20196139
0.30316498,-0.20969884,-0.23366823
0.24552409,-0.14427765,-0.072232157
0.13150722,-0.30189664,-0.014353323
0.14716921,-0.21034648,-0.014396108
0.14530399,-0.20726303,-0.069065792
0.17065617,-0.18094005,0.030104101
0.35369337,-0.11622024,-0.19624625
0.28441808,-0.16119453,-0.10587589
0.3795571,-0.13789938,-0.19127982
0.25811099,-0.10140049,-0.17056873
0.65299077,-0.039319111,-0.14363219
0.72112712,-0.10592936,0.038661045
0.79786343,-0.18029883,-0.1033104
0.062287987,-0.16646702,-0.050024995
0.44823895,-0.10627778,-0.17553815
0.24382017,-0.14029731,-0.15624395
0.90102904,-0.011275643,-0.15709622
0.40296601,-0.18701232,-0.24885711
0.39069336,-0.16270429,-0.30091499
0.11115081,-0.12182235,-0.22756432
0.1967401,-0.15475126,-0.17851859
0.62713378,-0.12485005,-0.11163338
0.30382974,-0.15736322,-0.11702097
0.28792286,-0.10632832,-0.12256717
0.37552795,-0.14410196,-0.045460265
0.37925908,-0.10590028,-0.12971452
0.42287559,-0.20901375,-0.18449056
0.81469325,-0.064399364,0.068273034
0.14398434,-0.14084608,-0.12325795
0.60258871,-0.13245972,-0.087228956
0.37181272,-0.1197601,-0.11816119
0.60450923,-0.20136946,-0.35442568
0.42372287,-0.12562708,-0.069156107
0.41224789,-0.17057353,-0.073558448
0.70957034,-0.10739056,-0.09461027
0.28019997,-0.14842505,-0.079877457
0.53472998,-0.11107108,0.11686571
0.19348283,-0.24421096,-0.27893111
0.27458001,-0.24175268,-0.236377
0.44830409,-0.10948424,-0.070355468
0.49965413,-0.12720384,-0.11716802
0.61480434,-0.048542181,-0.0786467
0.70870964,-0.04516957,-0.11782553
0.68188668,-0.040610454,-0.073247685
0.50596417,-0.22681186,-0.41184796
0.49938047,-0.037488924,0.17012966
0.52044132,-0.17700456,-0.015933766
0.33611215,-0.28840262,-0.10254075
0.4593132,-0.1316248,-0.057532016
0.52362178,-0.086840838,-0.12601854
0.33036224,-0.2592428,0.010576321
0.20430748,-0.17516778,0.0595334
0.26920856,-0.16896404,-0.043966663
0.34998602,-0.12975188,-0.098340443
0.38997346,-0.16766557,0.002337089
0.2439971,-0.12012811,-0.23400861
0.20896138,-0.20315695,-0.024932313
0.19505641,-0.27140746,0.026807996
0.5489953,-0.080245748,-0.1381912
0.36314493,-0.277585,-0.14824812
0.60426258,-0.10106369,-0.034803536
0.18581844,-0.19371964,-0.02054804
0.3967824,-0.12046864,-0.067614703
0.39961496,-0.12024078,-0.017846341
0.45596102,-0.20087997,-0.16527085
0.53537917,-0.11378694,-0.20957366
0.25549566,-0.21033492,-0.031105882
0.40147471,-0.091218243,-0.26375921
-0.016619708,-0.23060992,-0.062883034
0.18227517,-0.19495146,-0.11156126
0.30933363,-0.24585258,-0.073075547
0.32267063,-0.094482554,-0.20287685
0.41061948,-0.1150879,-0.131486
0.47197572,-0.1571103,-0.080596809
0.54715359,-0.22383225,-0.1984668
0.89594654,-0.070853431,-0.13557013
0.8766133,-0.056994737,-0.01488352
0.19892245,-0.19171955,-0.24816757
0.49685166,-0.049366269,-0.19321584
0.49158437,-0.19677652,-0.050783754
0.61236005,-0.03177145,-0.24627148
0.55801135,-0.19081729,0.017594435
0.43167156,-0.11445722,-0.065167569
0.38566401,-0.13572894,-0.23400812
0.58735558,-0.080128957,-0.1439095
0.32663743,-0.29615926,0.05522758
0.3118073,-0.10229923,-0.12876442
0.48675829,-0.29499519,-0.047920131
0.38807422,-0.075772101,-0.10422948
0.20403481,-0.22499345,-0.26241969
0.62654532,-0.016507856,0.010669853
0.30496614,-0.2205506,-0.10013734
0.14371384,-0.12268904,0.02888904
0.21923511,-0.12870524,0.094741375
0.55338228,-0.1103922,-0.12266137
0.19805649,-0.16650119,0.0090748781
0.6268306,-0.10103297,-0.22665871
0.51221393,-0.070451269,-0.18554053
0.56948333,-0.077841904,-0.16869922
0.43260812,-0.11856068,-0.11966116
0.27770763,-0.21645733,-0.10441073
0.67069686,-0.1655004,-0.18125404
0.12216126,-0.19123268,-0.14091681
0.27812166,-0.20854691,-0.035250203
0.32828571,-0.14420396,-0.066295634
0.27711167,-0.16335576,0.011896756
0.31216221,-0.11078468,-0.41281768
0.61634642,-0.12389499,-0.1190544
0.1977709,-0.18768945,-0.12601405
0.27733761,-0.15629793,0.023580515
0.58379929,-0.18041015,-0.14030545
0.47933861,-0.08825306,-0.2618372
0.23136116,-0.17017913,-0.16495629
0.48655983,-0.070848725,-0.12914831
0.40213265,-0.10312991,-0.28451163
0.34616228,-0.10997961,0.019622993
0.5232484,-0.19639274,-0.31288465
0.29940355,-0.19044467,0.063341022
0.55785126,-0.036802833,-0.32667405
0.29902909,-0.1739813,-0.39436626
0.3002447,-0.06428909,-0.081721311
0.27895734,-0.15707456,-0.33642337
0.55212212,-0.10244083,-0.23881538
0.11407597,-0.25547294,0.032280769
0.47787525,-0.081553137,-0.24501178
0.40208864,-0.11252256,0.077665616
0.050408035,-0.21980447,-0.26201104
0.43019549,-0.14014773,-0.26771443
0.41615738,-0.16098391,0.01735461
0.51213554,-0.22781725,-0.17139724
0.64033376,-0.065636572,-0.27311253
0.20565422,-0.11992645,0.051618754
0.58803788,-0.21184765,-0.25381332
0.54508202,-0.073046932,-0.395062
0.68312988,-0.01627744,-0.22087141
0.00098466418,-0.21290667,0.056022187
0.62064912,-0.088396738,-0.16884388
0.31491694,-0.11223935,-0.066032223
0.44754146,-0.14355177,-0.067566962
0.51745565,-0.13332323,-0.19066558
0.35360755,-0.17808979,-0.070283257
0.40503661,-0.04711348,-0.2747613
0.3992347,-0.15859372,-0.13302017
0.48492718,-0.12597841,-0.30154845
0.27024916,-0.12304968,-0.097221802
0.39931903,-0.097124055,-0.11377527
0.4088205,-0.10472068,-0.11361294
0.57033111,-0.1091554,-0.23927544
0.71929018,0.051830897,-0.27569462
0.26597851,-0.21446283,-0.015456233
0.38912815,-0.14808886,-0.019952291
0.75085041,-0.15555147,-0.30443077
0.6468012,-0.067989147,-0.32929942
0.51970146,-0.099778083,0.095424116
0.044802484,-0.13616165,-0.33050611
0.23648414,-0.18858999,-0.18365839
0.2409836,-0.090680543,0.072537558
0.27724257,-0.21084674,-0.08555047
0.46618992,-0.078896848,0.034034565
0.63025375,-0.17845533,-0.17651444
0.40240552,-0.18359211,-0.19177681
0.087860491,-0.17670927,-0.27517079
0.24723762,-0.13202644,-0.09200294
0.43521673,-0.16449125,-0.10542695
0.44879467,-0.085465253,-0.22299236
0.51359452,-0.094651837,-0.30018871
0.52135397,-0.075948301,-0.25186955
0.12941816,-0.16211965,0.11053423
0.6182006,-0.1345663,-0.19606601
0.403496,-0.1537523,-0.28142973
0.41200995,-0.045859466,-0.12363304
0.40392099,-0.16656755,0.070299002
0.31929716,-0.15162262,0.06781776
0.47381385,-0.098304249,-0.05035948
0.40180406,-0.13014643,-0.019848331
0.29726153,-0.18308125,-0.029905294
0.63439144,-0.10416622,-0.13187645
0.30380884,-0.18147831,-0.081574031
0.376005,-0.045989132,-0.27075655
0.48982898,-0.17361524,-0.089505478
0.18093675,-0.16705939,-0.14165225
0.14582398,-0.16034886,-0.18413951
0.43986903,-0.17213678,0.00030630164
0.55572584,-0.1801988,0.11972448
0.2943597,-0.15433459,-0.25735986
0.60555498,-0.053661424,0.0092857353
0.37657868,-0.10450501,-0.21865704
0.36017545,-0.13734695,0.090719333
0.56963528,0.0072271375,-0.24421662
0.42343595,-0.15241935,-0.15678593
0.79443297,-0.16467508,-0.26701976
0.36469906,-0.10805742,-0.20885197
0.39826447,-0.052578527,-0.18630654
-0.071066047,-0.30680383,0.14064528
0.4560848,-0.11389609,-0.29304404
0.46972146,-0.17255999,-0.36839164
0.76433761,-0.070321941,0.13075499
0.58375424,-0.15437775,-0.46289951
0.2175803,-0.24828981,0.18822384
-0.11207498,-0.22211108,-0.18824009
0.17664436,-0.15001585,-0.093016633
0.48418591,-0.17882105,-0.16817105
0.46964408,-0.14971329,-0.084414079
0.38038001,-0.18048313,0.11168463
0.38083394,-0.15672822,-0.26464216
0.23364595,-0.23210751,-0.06219548
0.43903291,-0.12717471,-0.32969381
0.31487186,-0.1441326,-0.03763334
0.4281052,-0.19094469,0.045481381
0.72257588,-0.067928734,-0.23758311
0.24874027,-0.14776268,0.13369523
0.39231876,-0.19323037,-0.20871583
0.50583185,-0.075723525,0.062578025
0.45389908,-0.23903187,-0.38151477
0.30766828,-0.13167974,0.073829943
0.22609207,-0.14811801,0.083995309
0.66467835,-0.074169613,-0.46886138
0.42504449,-0.16389162,0.14777256
0.40303026,-0.12909462,-0.33253325
0.54463566,-0.12377243,-0.10294244
0.3692801,-0.10085412,-0.19723147
0.44146292,-0.14301706,-0.33319367
0.31642182,-0.15621909,-0.12959404
0.40057452,-0.22846709,-0.11559885
0.24884676,-0.069486713,0.0084835852
0.097167385,-0.19969747,0.030330941
0.31903009,-0.11568627,-0.38590927
0.6691169,-0.16550965,0.052155497
0.46393759,-0.10783788,-0.18277224
0.22803452,-0.25446897,0.10082237
0.18451444,-0.080414218,-0.11282098
0.34330843,-0.09313194,-0.025022285
0.23327395,-0.26453774,-0.080695101
0.73843095,-0.094218944,-0.051210689
0.4823318,-0.14980363,-0.1407045
0.38799905,-0.18311841,-0.18911406
0.25528705,-0.24019777,-0.017881625
0.79227353,-0.064367861,-0.15467054
0.66620513,-0.14830185,-0.23360107
0.36253862,-0.13980665,-0.19001931
0.32492885,-0.22530739,0.08156219
0.071196861,-0.17302369,0.016880806
0.088037697,-0.23415668,0.13849912
-0.029565897,-0.24084135,0.048135523
0.55817508,-0.077356739,-0.42645616
0.37795533,-0.088534216,-0.37290294
0.45042259,-0.23062819,0.11475133
0.61421303,-0.19697582,-0.35815198
0.19989191,-0.20191506,0.1655321
0.24828788,-0.19752083,-0.25384976
0.43401533,-0.23162829,0.089745872
0.25060536,-0.20841584,-0.16744278
0.21163968,-0.18308962,-0.18997636
0.45798789,-0.27818126,-0.089868003
0.36558937,-0.19724761,-0.07099805
0.49132597,-0.15738823,-0.024021491
0.20948146,-0.21257492,0.038746457
0.20610616,-0.20712941,0.056572852
0.60780728,-0.076551765,-0.2035927
0.6471888,-0.041319016,-0.0013868815
0.9836284,0.020435935,-0.2545029
0.74082107,-0.14803554,-0.10698316
0.57635251,-0.13264556,-0.28849371
0.62639373,-0.12066602,-0.081283638
0.50731848,-0.10753289,-0.13938121
0.36076557,-0.20394556,-0.22147679
0.66607505,-0.10986015,-0.10054678
0.15639243,-0.16422298,-0.29124652
0.64647667,-0.13606517,0.080689356
0.28811514,-0.25105724,-0.2838495
0.57388418,-0.033465837,-0.25557724
0.24724578,-0.09309761,-0.17339561
0.45911561,-0.33479125,-0.1815126
0.45497197,-0.14581231,-0.098441489
0.018699738,-0.29822842,-0.0393862
0.70055784,-0.10601048,-0.10214259
0.60933838,-0.115881,-0.12734975
0.6171255,-0.043427147,-0.27326722
0.43269107,-0.1088003,-0.077555121
0.73286192,-0.0024432037,-0.23632859
0.33104677,-0.15867603,-0.033224604
0.57837703,-0.033205607,-0.16506441
0.70508195,-0.23292764,-0.28404053
0.55725727,-0.1370702,-0.088595463
0.12580333,-0.23117707,-0.13581956
0.32367364,-0.14566149,-0.13436024
0.39781253,-0.1932549,-0.050006417
0.69683319,-0.059062157,-0.23773346
0.17744323,-0.19648967,-0.1356781
0.34646192,-0.25383377,-0.040596838
0.29772048,-0.18930495,-0.21016501
0.37831937,-0.20810643,-0.072496809
0.36091186,-0.14059932,-0.23929909
0.33581097,-0.23014793,-0.11902188
0.43258526,-0.23388951,-0.091288928
0.25925423,-0.084575463,-0.13992019
0.60188148,-0.048642046,-0.41304754
0.38249929,-0.23594528,-0.23560155
0.320361,-0.20746782,-0.10141647
0.33761531,-0.14815221,-0.13090848
0.3411141,-0.21386158,-0.057222544
0.82619249,-0.10548017,-0.17387657
0.68697155,-0.022799611,-0.28756534
0.75548432,-0.032748374,-0.35077378
0.3555929,-0.14480791,-0.042744952
0.5605666,-0.096345621,-0.26672144
0.7586276,-0.10152758,-0.27703796
0.4222927,-0.10664775,-0.18645623
0.3828451,-0.11969314,-0.13033073
0.54763108,-0.083640798,-0.32514275
0.62111482,-0.10221647,-0.25371207
0.65534646,0.016664976,-0.07143379
0.138573,-0.25201794,-0.020022496
0.29966991,-0.15277331,0.030381377
0.43198283,-0.22226259,-0.07526118
0.40177622,-0.1357661,0.0029437867
0.3377704,-0.25449145,-0.11979822
0.106372,-0.14027445,-0.38745441
0.18523401,-0.13592571,-0.41403256
0.45136363,-0.15355062,-0.15128453
0.54676489,-0.14064144,-0.086750631
0.21054436,-0.071758916,-0.40557148
0.3165529,-0.09483891,-0.22249083
0.51762275,-0.27023286,0.02059386
0.43016291,-0.18672672,-0.15630148
0.46053487,-0.1366359,-0.025372107
0.36927146,-0.15719048,0.09875214
0.19816692,-0.12880469,-0.17630391
0.3187018,-0.13638512,-0.073342646
-0.0059664249,-0.24502282,-0.13391968
0.65992305,-0.014702074,-0.1781785
0.28426529,-0.31117783,-0.090352945
0.4952819,-0.057855019,-0.078582685
0.32260445,-0.30641529,-0.037241215
0.49566024,-0.18853216,0.099771318
0.45881662,-0.17362748,0.056794759
0.39176979,-0.098185054,-0.20571226
0.61309629,-0.11186395,-0.10016146
0.67551941,-0.039885877,-0.21394813
0.14668311,-0.18889397,0.012671342
0.03548053,-0.27280285,-0.15820521
0.37369848,-0.21189214,-0.03549067
0.56399062,-0.10568025,0.032267747
0.71575382,-0.057505802,-0.21393355
0.35776351,-0.18666532,-0.038614237
0.81916267,-0.10194131,-0.19381221
0.33138292,-0.12561241,-0.089289002
0.62722168,-0.13638958,-0.23073945
0.61093786,-0.135283,-0.23951516
0.43924926,0.027228385,-0.20357691
0.76448446,-0.048749161,-0.06958809
0.56363231,-0.15456989,-0.20172699
0.27172395,-0.11210382,-0.01373232
0.30603478,-0.099759393,-0.035338514
0.49180915,-0.063868814,-0.20050113
0.53012545,-0.23272973,-0.16184251
0.42765126,-0.17749463,-0.39319096
0.69362568,-0.055715157,-0.095618998
0.51875443,-0.12253322,-0.086840017
0.25690844,-0.12798807,-0.047406318
0.20878513,-0.21228441,-0.013341887
0.35933804,-0.093535355,-0.18713618
0.39759305,-0.13828624,-0.10340142
0.41764204,-0.14215315,-0.11015285
0.47845953,-0.088784829,-0.13476652
0.47853968,-0.166951,-0.10005715
0.57680612,-0.073741753,-0.18019482
0.66510497,-0.18578191,-0.26252448
0.62526056,-0.078701482,-0.20397165
0.65492921,-0.13999042,0.015068931
0.30427864,-0.055400191,-0.30160734
0.36740553,-0.099776155,-0.32801241
0.66853715,-0.13969854,0.11076171
0.35292074,-0.12911316,-0.33330525
0.57509207,-0.23185816,0.10697629
0.53166809,-0.070315392,-0.34623447
0.2139868,-0.34253576,0.10245955
0.24078505,-0.17462311,0.14233862
0.36714085,-0.14206676,-0.36427775
0.16699126,-0.26782711,0.081783639
-0.005206841,-0.22235418,-0.1560784
0.84967998,-0.093779237,-0.13991168
0.36260351,-0.10193865,-0.23485729
0.33135804,-0.16032144,-0.23698601
0.30758253,-0.18783285,-0.016593789
0.22579992,-0.16353086,-0.16386149
0.47845126,-0.17419581,-0.083412488
0.47376813,-0.11738533,-0.17039671
0.42970249,-0.073652948,-0.2175612
0.39636166,-0.2886309,-0.13262153
0.53406941,-0.089473674,0.0049871636
0.62714324,-0.17255711,-0.32793606
0.7219807,0.013449902,-0.048598184
0.19231041,-0.33997383,-0.11251311
0.61739104,-0.0034675963,-0.18506122
0.52576304,-0.13912145,-0.15552217
0.38010176,-0.16385147,-0.049555013
0.54689661,-0.13855161,-0.057811503
0.32717367,-0.2224842,0.00020019517
0.2949668,-0.099161249,-0.034909733
0.35018025,-0.14390246,-0.29411579
0.014392929,-0.2383103,0.12403229
0.12994257,-0.18866222,-0.097457663
0.41169525,-0.1329193,-0.16998166
0.31755883,-0.1289016,-0.11371302
0.36266672,-0.24078887,0.071197177
0.41750318,-0.062250203,-0.19503696
0.65301874,-0.090974103,-0.14769921
0.98135874,-0.041599997,-0.33681163
0.27936588,-0.2031048,0.0055750474
0.38615268,-0.11696245,-0.13438071
0.30453106,-0.18468068,-0.2424226
0.25672792,-0.19982329,-0.34966422
0.20160451,-0.17205023,-0.11742144
0.24954096,-0.10110956,-0.071870902
0.15315777,-0.14817708,-0.044862
0.56698863,-0.090908154,-0.32743212
0.19314722,-0.24227571,-0.044167732
0.15649,-0.18012087,0.098655858
0.19098022,-0.084563408,-0.20505648
0.44632908,-0.23876576,-0.011544025
0.62944118,-0.22139757,0.02779814
0.37993666,-0.048509101,-0.33233937
0.090922733,-0.1453445,-0.26633002
0.37831008,-0.14031659,-0.00037281676
0.36772145,-0.061833599,-0.25901585
0.52646123,-0.26717901,-0.035072765
0.80372648,-0.044834217,-0.20696985
0.45768784,-0.068197024,-0.050468931
0.55052085,-0.091750188,-0.10899464
0.42248842,-0.10912828,-0.04227662
0.34603984,-0.2536279,-0.11156401
0.3141822,-0.27256199,-0.11049876
0.44969957,-0.045457323,-0.071341137
0.60242707,-0.11267671,-0.23645055
0.21929721,-0.2441492,0.040614077
0.40408219,-0.13006058,-0.21015694
0.44670604,-0.22019538,0.021422029
0.39549212,-0.10036845,-0.20101493
0.28088818,-0.12265104,-0.060157228
0.63426332,-0.025635627,-0.18560287
0.61206401,-0.042593272,-0.17289313
0.5600009,-0.049085992,-0.30386557
0.37975689,-0.13452198,-0.29451863
0.032168874,-0.26666965,0.10007865
0.41779549,-0.24252844,-0.037663882
0.98294497,-0.092606647,-0.028264897
0.73627589,-0.097382133,-0.31276671
0.56821736,-0.12500316,-0.13158912
0.49851443,-0.14185177,-0.11741515
0.40248891,-0.17407319,0.060792753
0.37139312,-0.10301537,-0.31835208
0.20869689,-0.18706602,-0.051676989
0.24016632,-0.16884307,-0.11241613
0.45169249,-0.10219957,-0.15232571
0.20506843,-0.23120611,-0.048993479
0.071705102,-0.21938694,-0.2918742
0.49217337,-0.082171395,0.0071696553
0.4695349,-0.12641256,-0.25085525
0.22234473,-0.12604896,0.0069398893
0.42663219,-0.22761903,-0.28277774
0.56043672,-0.129201,-0.13098708
0.28505477,-0.082428611,-0.06080854
0.23420106,-0.087100151,-0.13114962
0.43954173,-0.22918625,-0.030144831
0.16132253,-0.13222661,-0.27188574
0.23596752,-0.26688017,0.026748011
0.34283536,-0.13773681,-0.30674157
0.57400084,-0.085777459,-0.064729836
0.39261589,-0.15847906,-0.18681866
0.55426733,-0.065863176,-0.061607312
0.72124696,-0.10634318,-0.45816765
0.5378839,-0.05047708,0.045436636
0.43526388,-0.21477218,-0.12378715
0.35197293,-0.096664587,-0.13222603
0.48284479,-0.12670432,-0.14396605
0.43988217,-0.063300555,-0.16409723
0.56954067,-0.13467714,-0.16680237
0.6079533,-0.049944884,-0.073267308
0.65361926,-0.14347915,-0.19404654
0.20297738,-0.090811095,-0.27766264
0.56204294,-0.12613749,0.028422419
0.51294315,-0.091631429,-0.064984931
0.69208383,-0.084244298,-0.14566742
0.39892346,-0.1722201,0.058417996
0.47045086,-0.16924995,-0.025567923
0.55077277,-0.12834167,-0.0045824542
0.19613228,-0.1247306,-0.18295278
0.3213802,-0.10742966,-0.25199244
0.4233991,-0.15483345,0.012577111
0.47697794,-0.086944128,-0.21704938
0.31012761,-0.2054882,-0.060542272
0.70798126,-0.1294628,-0.14441887
0.61689792,-0.13160493,-0.20823666
0.43862147,-0.10835191,-0.24406916
1.0776755,-0.10157418,-0.18615988
0.69596215,-0.12256191,-0.44845167
0.21409467,-0.14954747,0.14564401
0.56266139,-0.071649163,-0.41482821
0.067583491,-0.25683804,0.15068379
0.36728421,-0.082582835,-0.14866474
0.53492143,-0.25286864,-0.018977323
