,prl_a,ts_a_0,ts_a_1,prl_v,ts_v_0,ts_v_1,prl_t,ts_t_0,ts_t_1,prl_alpha,prl_pos_alpha,wcst_logit_h
prl_a,1.0,0.21614026743134218,0.16006184284765532,-0.2671607120731359,-0.1471004885577585,-0.07430933588344162,0.1834475804778676,-0.02084268828884801,0.3038145100377045,-0.2533024566146541,-0.3130048599760685,0.19800122063707165
ts_a_0,0.21614026743134218,1.0,0.5416321323541065,-0.060819865073235314,-0.10357482513201878,-0.04426003570359659,0.21174245284841708,-0.12827559223942278,0.4363660301763839,0.018718144347850674,-0.04354037701383705,0.1368195715075519
ts_a_1,0.16006184284765532,0.5416321323541065,1.0,0.04384527398723389,-0.30089216876769537,0.21189663400089215,0.25463001946525904,0.09351174953852978,0.46612767025092705,-0.08491896419031336,-0.09218345333831118,0.09389349553596794
prl_v,-0.2671607120731359,-0.060819865073235314,0.04384527398723389,1.0,-0.010608962849346664,-0.15753430033903126,0.24426770247741234,-0.09331614991260634,0.014511140890503668,-0.36644155053819366,-0.24954921100316457,-0.16280503254402157
ts_v_0,-0.1471004885577585,-0.10357482513201878,-0.30089216876769537,-0.010608962849346664,1.0,0.5115885552542319,-0.1472167825993388,0.06383205395871272,-0.3540536223265825,0.3217076616375886,0.20148798819484942,-0.46196033840037914
ts_v_1,-0.07430933588344162,-0.04426003570359659,0.21189663400089215,-0.15753430033903126,0.5115885552542319,1.0,-0.07660498189853444,0.061711810107279434,0.01672818986752304,0.2830123793943854,0.2582579960153352,-0.38029315461098234
prl_t,0.1834475804778676,0.21174245284841708,0.25463001946525904,0.24426770247741234,-0.1472167825993388,-0.07660498189853444,1.0,0.04932771531498528,0.28411652575310414,-0.2473665046122787,-0.010654040852956757,0.242498112704983
ts_t_0,-0.02084268828884801,-0.12827559223942278,0.09351174953852978,-0.09331614991260634,0.06383205395871272,0.061711810107279434,0.04932771531498528,1.0,0.14760844168638354,-0.024920181692681356,-0.02368517601458448,-0.07703343573588024
ts_t_1,0.3038145100377045,0.4363660301763839,0.46612767025092705,0.014511140890503668,-0.3540536223265825,0.01672818986752304,0.28411652575310414,0.14760844168638354,1.0,-0.1379154724671526,-0.10953620229535911,0.006005174849600583
prl_alpha,-0.2533024566146541,0.018718144347850674,-0.08491896419031336,-0.36644155053819366,0.3217076616375886,0.2830123793943854,-0.2473665046122787,-0.024920181692681356,-0.1379154724671526,1.0,0.5607059542791115,-0.25673648118141457
prl_pos_alpha,-0.3130048599760685,-0.04354037701383705,-0.09218345333831118,-0.24954921100316457,0.20148798819484942,0.2582579960153352,-0.010654040852956757,-0.02368517601458448,-0.10953620229535911,0.5607059542791115,1.0,-0.04509071799966779
wcst_logit_h,0.19800122063707165,0.1368195715075519,0.09389349553596794,-0.16280503254402157,-0.46196033840037914,-0.38029315461098234,0.242498112704983,-0.07703343573588024,0.006005174849600583,-0.25673648118141457,-0.04509071799966779,1.0
