"","prl_a","ts_a_0","ts_a_1","prl_v","ts_v_0","ts_v_1","prl_t","ts_t_0","ts_t_1","prl_alpha","prl_pos_alpha","wcst_logit_h"
"prl_a",1,0.285185185185185,0.175199249882794,-0.477449601500234,-0.202578527894984,0.00187529301453352,-0.00993905297702766,0.0691045475855602,0.281997187060478,-0.197585560243788,-0.310571964369433,0.171167369901547
"ts_a_0",0.285185185185185,1,0.400586029067042,-0.0797233942803563,-0.0364510079699953,-0.0300750117205813,0.110103141115799,-0.18216127519925,0.445452414439756,0.0658227848101266,-0.0693389592123769,0.0233942803563057
"ts_a_1",0.175199249882794,0.400586029067042,1,0.0303328645100797,-0.272456633849039,0.303703703703704,0.0880918893577121,0.0583919362400375,0.407759024847632,0.076558837318331,-0.0294889826535396,-0.0110876699484294
"prl_v",-0.477449601500234,-0.0797233942803563,0.0303328645100797,1,-0.0527426160337553,-0.138842006563526,0.352062822315987,-0.117744960150023,0.0360759493670886,-0.105133614627286,-0.161439287388654,-0.224331926863572
"ts_v_0",-0.202578527894984,-0.0364510079699953,-0.272456633849039,-0.0527426160337553,1,0.430379746835443,-0.0992264416315049,0.0358180965775902,-0.367323019221753,0.31235349273324,0.244889826535396,-0.358837318330989
"ts_v_1",0.00187529301453352,-0.0300750117205813,0.303703703703704,-0.138842006563526,0.430379746835443,1,-0.0651898734177215,0.10014064697609,0.0276840131270511,0.226043131739334,0.232630098452883,-0.271003281762775
"prl_t",-0.00993905297702766,0.110103141115799,0.0880918893577121,0.352062822315987,-0.0992264416315049,-0.0651898734177215,1,0.105157055789967,0.282372245663385,0.000140646976090014,0.172339428035631,-0.0291842475386779
"ts_t_0",0.0691045475855602,-0.18216127519925,0.0583919362400375,-0.117744960150023,0.0358180965775902,0.10014064697609,0.105157055789967,1,0.122948898265354,-0.0467182372245663,-0.00443037974683544,0.00539146741678387
"ts_t_1",0.281997187060478,0.445452414439756,0.407759024847632,0.0360759493670886,-0.367323019221753,0.0276840131270511,0.282372245663385,0.122948898265354,1,-0.050070323488045,-0.066924519456165,0.0219409282700422
"prl_alpha",-0.197585560243788,0.0658227848101266,0.076558837318331,-0.105133614627286,0.31235349273324,0.226043131739334,0.000140646976090014,-0.0467182372245663,-0.050070323488045,1,0.539334270979841,-0.188185654008439
"prl_pos_alpha",-0.310571964369433,-0.0693389592123769,-0.0294889826535396,-0.161439287388654,0.244889826535396,0.232630098452883,0.172339428035631,-0.00443037974683544,-0.066924519456165,0.539334270979841,1,-0.0805672761368964
"wcst_logit_h",0.171167369901547,0.0233942803563057,-0.0110876699484294,-0.224331926863572,-0.358837318330989,-0.271003281762775,-0.0291842475386779,0.00539146741678387,0.0219409282700422,-0.188185654008439,-0.0805672761368964,1
